token,symbol,name,expiry,strike,lotsize,instrumenttype
"1165242","SENSEX24D1383600CE","SENSEX","13DEC2024",83600,"10","OPTIDX"
"1165566","SENSEX24D1384400CE","SENSEX","13DEC2024",84400,"10","OPTIDX"
"1166317","SENSEX24D1374900CE","SENSEX","13DEC2024",74900,"10","OPTIDX"
"1166388","SENSEX24D1375300PE","SENSEX","13DEC2024",75300,"10","OPTIDX"
"1163832","SENSEX24D1379000CE","SENSEX","13DEC2024",79000,"10","OPTIDX"
"1164007","SENSEX24D1375900PE","SENSEX","13DEC2024",75900,"10","OPTIDX"
"1164074","SENSEX24D1379200CE","SENSEX","13DEC2024",79200,"10","OPTIDX"
"1164294","SENSEX24D1380500CE","SENSEX","13DEC2024",80500,"10","OPTIDX"
"1164520","SENSEX24D1376100PE","SENSEX","13DEC2024",76100,"10","OPTIDX"
"1164699","SENSEX24D1375500PE","SENSEX","13DEC2024",75500,"10","OPTIDX"
"1164789","SENSEX24D1379800CE","SENSEX","13DEC2024",79800,"10","OPTIDX"
"1164903","SENSEX24D1377700PE","SENSEX","13DEC2024",77700,"10","OPTIDX"
"1164909","SENSEX24D1380800CE","SENSEX","13DEC2024",80800,"10","OPTIDX"
"1164985","SENSEX24D1377000PE","SENSEX","13DEC2024",77000,"10","OPTIDX"
"1165503","SENSEX24D1384300CE","SENSEX","13DEC2024",84300,"10","OPTIDX"
"1166194","SENSEX24D1374800CE","SENSEX","13DEC2024",74800,"10","OPTIDX"
"1166252","SENSEX24D1375200PE","SENSEX","13DEC2024",75200,"10","OPTIDX"
"1167965","SENSEX24D1373900PE","SENSEX","13DEC2024",73900,"10","OPTIDX"
"1168273","SENSEX24D1374000CE","SENSEX","13DEC2024",74000,"10","OPTIDX"
